disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,id,hash,lastRefresh
1489,2003-09-12T00:00:00.000Z,SEVERE STORMS AND FLOODING,2003-07-21T00:00:00.000Z,2003-08-18T00:00:00.000Z,Major Disaster,NH,New Hampshire                 ,Severe Storm,2003-09-11T00:00:00.000Z,2008-04-24T00:00:00.000Z,2008-04-07T00:00:00.000Z,1,0,0,1,1,722bba6c-bc0e-4d41-9bc8-68c4d74be624,58e66fc379819bf00de24dd395389affb7c9aa1c,2023-09-28T23:41:26.075Z
1488,2003-09-12T00:00:00.000Z,SEVERE STORMS AND FLOODING,2003-07-21T00:00:00.000Z,2003-08-18T00:00:00.000Z,Major Disaster,VT,Vermont                       ,Severe Storm,2003-08-21T00:00:00.000Z,2011-01-06T00:00:00.000Z,2011-01-04T00:00:00.000Z,1,0,0,1,1,2d692094-ac68-4eb7-aa1e-08f4beb5ee1d,a4f3bc47bb0649150dd77b61da2824252fa96158,2023-09-28T23:41:26.075Z
2498,2003-09-06T00:00:00.000Z,WA-NEEDLE FIRE-09-06-2003,2003-09-05T00:00:00.000Z,2003-09-17T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2003-09-10T00:00:00.000Z,2005-03-16T00:00:00.000Z,2005-03-03T00:00:00.000Z,10,0,0,1,0,9b1410f3-e3ff-4f0d-be21-f71b94933513,b0e6f2aa53bda204468dc4b1b5d7b07a473cea51,2023-09-28T23:41:26.075Z
2497,2003-09-06T00:00:00.000Z,CA-BRIDGE FIRE-09-05-2003,2003-09-05T00:00:00.000Z,2003-09-10T00:00:00.000Z,Fire Management,CA,California                    ,Fire,2003-09-08T00:00:00.000Z,2009-08-31T00:00:00.000Z,2009-08-26T00:00:00.000Z,9,0,0,1,0,c8586f7c-4a55-4b3c-9cb2-a251b84f1739,593cdf48e1d879020f69fa4b815f7641e9cf32eb,2023-09-28T23:41:26.075Z
2496,2003-09-06T00:00:00.000Z,OR-COVE ROAD FIRE-09-05-2003,2003-09-05T00:00:00.000Z,2003-09-08T00:00:00.000Z,Fire Management,OR,Oregon                        ,Fire,2003-09-10T00:00:00.000Z,2005-02-01T00:00:00.000Z,2005-01-19T00:00:00.000Z,10,0,0,1,0,93ee182f-465f-45cd-bea2-2abdb5758368,5d431f658c2af5cb7618dd074660c14576790b30,2023-09-28T23:41:26.075Z
1487,2003-09-05T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",2003-08-26T00:00:00.000Z,2003-09-15T00:00:00.000Z,Major Disaster,IN,Indiana                       ,Severe Storm,2003-09-04T00:00:00.000Z,2012-08-03T00:00:00.000Z,2012-02-14T00:00:00.000Z,5,1,1,0,1,ae8a4401-28d0-4beb-a2ef-ecaa920c8132,df6d3f1d41174d9efb1025c02d2a3aeac07a0792,2023-09-28T23:41:26.075Z
2495,2003-09-02T00:00:00.000Z,OR-WYETH/HERMAN CREEK FIRE 09-02-2003,2003-09-02T00:00:00.000Z,2003-09-08T00:00:00.000Z,Fire Management,OR,Oregon                        ,Fire,2003-09-08T00:00:00.000Z,2005-02-01T00:00:00.000Z,2005-01-19T00:00:00.000Z,10,0,0,1,0,2740725e-5b24-49cd-8784-40c64fa58ebf,ba92d8563a2ea894748012bcce8d742a91300efa,2023-09-28T23:41:26.075Z
1486,2003-08-29T00:00:00.000Z,"SEVERE STORMS, FLOODING, AND TORNADOES",2003-07-21T00:00:00.000Z,2003-08-13T00:00:00.000Z,Major Disaster,NY,New York                      ,Severe Storm,2003-08-20T00:00:00.000Z,2023-01-24T00:00:00.000Z,2012-07-31T00:00:00.000Z,2,1,1,1,1,fcb385f0-4258-41b8-9e60-acaf00dbf152,1d0e7ada7f0eb7a8458e6a915b6449008ed75253,2023-09-28T23:41:26.075Z
3186,2003-08-23T00:00:00.000Z,POWER OUTAGE,2003-08-14T00:00:00.000Z,2003-08-16T00:00:00.000Z,Emergency,NY,New York                      ,Other,2003-08-21T00:00:00.000Z,2011-03-08T00:00:00.000Z,2011-03-03T00:00:00.000Z,2,0,0,1,0,0c4500c0-d390-4c95-ab51-256f388149fa,f219ee4b6d63966b475260bed3436a2397ecfaed,2023-09-28T23:41:26.075Z
1485,2003-08-23T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",2003-07-21T00:00:00.000Z,2003-09-12T00:00:00.000Z,Major Disaster,PA,Pennsylvania                  ,Severe Storm,2003-08-08T00:00:00.000Z,2010-10-05T00:00:00.000Z,2010-09-30T00:00:00.000Z,3,1,1,1,1,16e0671b-1fb9-48e8-b848-338b6ec18048,2bda77f5feba683fc1ca74eea539a19f7831c389,2023-09-28T23:41:26.075Z
