id,declarationTitle,incidentType,state,declarationType,declarationDate,incidentBeginDate,incidentEndDate
f696e954-dddc-484c-899d-f4b59e685d93,PIKE ROAD FIRE,Fire,OR,FM,2020-09-10,2020-09-08,2020-09-14
a580070c-a76b-43ba-822d-2591357399cc,SOUTH OBENCHAIN FIRE,Fire,OR,FM,2020-09-09,2020-09-08,NA
4bbb2c44-0665-4e71-9802-711e521c96a2,RIVERSIDE FIRE,Fire,OR,FM,2020-09-09,2020-09-08,2020-10-15
3882ac5a-221f-414a-bbdd-871c2e8f09a3,ARCHIE CREEK FIRE,Fire,OR,FM,2020-09-09,2020-09-08,2020-10-15
40ecee57-f8dd-4a05-a871-3183b525cf4e,ALMEDA GLENDOWER FIRE,Fire,OR,FM,2020-09-09,2020-09-08,2020-09-15
5f5c0f95-ef1a-4c65-ba8a-fd92e3e5391d,BEAR FIRE,Fire,CA,FM,2020-09-09,2020-08-17,NA
8fcb5518-cc2d-4c76-8c9f-481f4a964dfb,BEAR FIRE,Fire,CA,FM,2020-09-09,2020-08-17,NA
b32c0d62-9ca6-42c2-80a2-6099d6ac8f64,BEAR FIRE,Fire,CA,FM,2020-09-09,2020-08-17,NA
c69e7289-f26d-429a-92dc-5621339da802,ECHO MOUNTAIN FIRE COMPLEX,Fire,OR,FM,2020-09-09,2020-09-08,2020-09-22
4947ec7d-c0cd-43a3-9b6a-a786b4c5d6f7,SLATER FIRE,Fire,CA,FM,2020-09-09,2020-09-08,NA
8471f479-42b0-436f-b44e-e151478471a6,SUMNER GRADE FIRE,Fire,WA,FM,2020-09-09,2020-09-08,2020-09-15
985f46b7-bb3b-4d33-93b2-1244985debf4,BORDEAUX ROAD FIRE,Fire,WA,FM,2020-09-09,2020-09-08,2020-09-11
5b068c41-9d63-4b70-a448-64b258296cfb,POWERLINE FIRE,Fire,OR,FM,2020-09-08,2020-09-08,2020-09-14
377997cf-48cc-4f3b-a569-e55def8f06b3,HOLIDAY FARM FIRE,Fire,OR,FM,2020-09-08,2020-09-08,NA
fd159620-d9d5-4de6-ab92-6858452bdcbb,BEACHIE CREEK LIONSHEAD FIRE COMPLEX,Fire,OR,FM,2020-09-08,2020-09-07,2020-10-15
6441df41-6938-44c5-9c5a-ed61a32cf069,BEACHIE CREEK LIONSHEAD FIRE COMPLEX,Fire,OR,FM,2020-09-08,2020-09-07,2020-10-15
bc03fbf5-5573-42df-a1a0-7619e2d9030f,BEACHIE CREEK LIONSHEAD FIRE COMPLEX,Fire,OR,FM,2020-09-08,2020-09-07,2020-10-15
475a32b0-dafc-4f8b-b2f0-21fc6091c027,BEACHIE CREEK LIONSHEAD FIRE COMPLEX,Fire,OR,FM,2020-09-08,2020-09-07,2020-10-15
c88d87a3-eeb0-48a2-be2b-140002303394,BEACHIE CREEK LIONSHEAD FIRE COMPLEX,Fire,OR,FM,2020-09-08,2020-09-07,2020-10-15
b5ef5873-3ca8-4e98-857d-3f17b68e12d0,BABB FIRE,Fire,WA,FM,2020-09-08,2020-09-07,2020-09-15
034455a2-656e-488c-afff-3b7ae4b75400,BABB FIRE,Fire,WA,FM,2020-09-08,2020-09-07,2020-09-15
9d1259ec-ae32-4863-90b9-2cfd88484fff,TWO FOUR TWO FIRE,Fire,OR,FM,2020-09-08,2020-09-07,2020-09-23
767e6322-d0b0-4d65-8828-d440517946cd,ETHER HOLLOW FIRE,Fire,UT,FM,2020-09-07,2020-09-07,2020-09-12
2667b55c-3609-401c-beed-9e2b11536cab,APPLE ACRES FIRE,Fire,WA,FM,2020-09-07,2020-09-07,2020-09-15
8313fe56-7f62-4f20-9442-60d77bd66dd9,COLD SPRINGS/PEARL HILL FIRE,Fire,WA,FM,2020-09-07,2020-09-07,2020-09-19
cb5002b6-06bb-4668-a533-fd1ddee166e6,COLD SPRINGS/PEARL HILL FIRE,Fire,WA,FM,2020-09-07,2020-09-07,2020-09-19
01c43d89-38e6-41d3-b941-a33b1c83bb12,COLD SPRINGS/PEARL HILL FIRE,Fire,WA,FM,2020-09-07,2020-09-07,2020-09-19
0cb7437f-341f-4968-a69f-f2044b4c1437,EL DORADO FIRE,Fire,CA,FM,2020-09-06,2020-09-05,2020-09-24
94f539ff-4783-4ded-86d4-00600b68cba8,CAMERON PEAK FIRE,Fire,CO,FM,2020-09-06,2020-09-06,2020-11-02
938299ff-55cb-425f-b477-3b4249851236,CREEK FIRE,Fire,CA,FM,2020-09-06,2020-09-06,NA
adb470be-a77e-4bd0-8fa2-26cf0e438758,CREEK FIRE,Fire,CA,FM,2020-09-06,2020-09-06,NA
c3ca4aa2-b7d8-49c4-b633-46c53c8ba8c2,316 FIRE,Fire,WY,FM,2020-09-05,2020-09-05,2020-09-06
74e2de20-b6cc-4ab2-9550-c54a286a5463,BRIDGER FOOTHILLS FIRE,Fire,MT,FM,2020-09-05,2020-09-05,2020-09-14
5aa8b937-1fe7-442f-81c5-5248907eec32,SNIDER/RICE FIRE COMPLEX,Fire,MT,FM,2020-09-03,2020-09-03,2020-09-06
89364bdb-0127-4ac5-a2f8-d5e8b985af94,SNIDER/RICE FIRE COMPLEX,Fire,MT,FM,2020-09-03,2020-09-03,2020-09-06
e01c0bb8-2f2b-4302-942c-cdc2a75921b9,SNIDER/RICE FIRE COMPLEX,Fire,MT,FM,2020-09-03,2020-09-03,2020-09-06
b208fd5d-2913-447c-bb62-e41b05c52a8f,BOBCAT FIRE,Fire,MT,FM,2020-09-02,2020-09-02,2020-09-06
d656e113-effe-4089-aac0-4264f459b081,BOBCAT FIRE,Fire,MT,FM,2020-09-02,2020-09-02,2020-09-06
dd4f25f1-4e4e-44fd-851f-a8fcdce90eca,HUFF FIRE,Fire,MT,FM,2020-09-02,2020-09-02,2020-09-06
83619afe-b676-4551-b290-4aab92265bbb,EVANS CANYON FIRE,Fire,WA,FM,2020-09-01,2020-09-01,2020-09-14
312e4f44-1da1-408b-a63f-5937138202e2,WHITE RIVER FIRE,Fire,OR,FM,2020-08-28,2020-08-17,2020-09-10
3ba5c68f-b951-40d7-b8ef-3c50be09500b,GRIFFIN FIRE,Fire,AZ,FM,2020-08-26,2020-08-17,NA
4b412700-68d9-407d-94a1-7371cb49e896,GRIFFIN FIRE,Fire,AZ,FM,2020-08-26,2020-08-17,NA
4226e27f-1436-4f67-bcb5-46f910a88faa,SHEEP FIRE,Fire,CA,FM,2020-08-22,2020-08-17,NA
f18fa65b-ddbc-4497-aa92-dfb43fdcf4a6,SCU LIGTNING COMPLEX FIRE,Fire,CA,FM,2020-08-21,2020-08-20,NA
35deea06-a1ff-476e-82c4-22804f6b37d1,SCU LIGTNING COMPLEX FIRE,Fire,CA,FM,2020-08-21,2020-08-20,NA
f0c758c3-ab08-4fb4-9557-d19353a66329,PALMER FIRE,Fire,WA,FM,2020-08-20,2020-08-18,2020-09-03
639e7627-aa9f-4131-a41c-9f278976f7c4,CZU LIGHTNING FIRE COMPLEX,Fire,CA,FM,2020-08-20,2020-08-20,NA
3458c396-9d34-4052-be1b-ffc9600e79ca,CZU LIGHTNING FIRE COMPLEX,Fire,CA,FM,2020-08-20,2020-08-20,NA
c7142426-db96-466d-9402-12381231a4af,PINE GULCH FIRE,Fire,CO,FM,2020-08-19,2020-08-19,2020-09-02
