disasterNumber,stateCode,incidentType,declarationType,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,totalObligatedAmountHmgp
5266,WA,Fire,Fire Management,NA,NA,NA,NA,36010.87,13317.1,NA,0
4381,MI,Flood,Major Disaster,NA,NA,NA,NA,33342198.66,2961232.28,27720952.58,3855365.33
5265,OR,Fire,Fire Management,NA,NA,NA,NA,4515248.67,581023.07,NA,0
4380,VT,Severe Storm,Major Disaster,NA,NA,NA,NA,3523749.6,97652.86,3071933.85,30845.37
5264,TX,Fire,Fire Management,NA,NA,NA,NA,954946.5,11087.01,NA,0
5263,ID,Fire,Fire Management,NA,NA,NA,NA,19206.68,5131.89,NA,300576.5
5262,CA,Fire,Fire Management,NA,NA,NA,NA,21531039.35,890408.77,NA,0
3398,CA,Fire,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
5261,WA,Fire,Fire Management,NA,NA,NA,NA,15486.64,13720.96,NA,0
5260,CA,Fire,Fire Management,NA,NA,NA,NA,8137788.6,672218.91,NA,0
5259,CA,Fire,Fire Management,NA,NA,NA,NA,4305827.58,217345.14,NA,0
5258,TX,Fire,Fire Management,NA,NA,NA,NA,806419.18,7754.47,NA,0
5257,WA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
4379,MA,Snowstorm,Major Disaster,NA,NA,NA,NA,39120439.46,34712729.47,867798.88,1827434.87
5256,OR,Fire,Fire Management,NA,NA,NA,NA,19300544.7,439485.48,NA,0
5255,OR,Fire,Fire Management,NA,NA,NA,NA,1410129.39,31347.88,NA,0
5254,WA,Fire,Fire Management,NA,NA,NA,NA,9258.91,3000.68,NA,0
2825,CA,Fire,Fire Management,NA,NA,NA,NA,7358708.49,95966.97,NA,0
4378,WV,Severe Storm,Major Disaster,NA,NA,NA,NA,2134723.62,233032.34,1636968.93,162949
5253,WA,Fire,Fire Management,NA,NA,NA,NA,4905.24,4905.24,NA,0
5252,CA,Fire,Fire Management,NA,NA,NA,NA,1361342,139634.63,NA,0
5251,CA,Fire,Fire Management,NA,NA,NA,NA,665090.01,247536.26,NA,0
4377,TX,Flood,Major Disaster,NA,NA,NA,NA,NA,NA,NA,1786001.13
5250,CA,Fire,Fire Management,NA,NA,NA,NA,17993983.31,421330.99,NA,0
4376,MD,Flood,Major Disaster,NA,NA,NA,NA,16903761.24,4796698.09,10849218.29,570481.5
5247,CO,Fire,Fire Management,NA,NA,NA,NA,1897908.28,92248.62,NA,0
4375,NE,Snowstorm,Major Disaster,NA,NA,NA,NA,7302114.67,104198.74,7006741.08,229105.89
4374,MD,Severe Storm,Major Disaster,NA,NA,NA,NA,7682912.87,402728.87,6414650.06,367069.75
4373,OK,Fire,Major Disaster,NA,NA,NA,NA,5306654.47,418199.92,4564788.3,719498.94
4372,MA,Severe Storm,Major Disaster,NA,NA,NA,NA,30936954.68,7976017.41,19774926.64,2384567.47
5245,CA,Fire,Fire Management,NA,NA,NA,NA,2682305.5,70678.26,NA,0
5244,CA,Fire,Fire Management,NA,NA,NA,NA,18221258.56,167539.76,NA,0
5243,OR,Fire,Fire Management,NA,NA,NA,NA,1302250.84,408557.15,NA,0
5242,NV,Fire,Fire Management,NA,NA,NA,NA,79796.27,NA,NA,0
5241,WY,Fire,Fire Management,NA,NA,NA,NA,589823.85,NA,NA,694896.49
4371,NH,Snowstorm,Major Disaster,NA,NA,NA,NA,2666522.48,2432307.48,NA,30018.87
4370,NH,Coastal Storm,Major Disaster,NA,NA,NA,NA,1184095.65,335446.56,707491.15,0
4369,AK,Coastal Storm,Major Disaster,NA,NA,NA,NA,3908163.56,10548.34,3797955.83,402687.5
4368,NJ,Severe Storm,Major Disaster,NA,NA,NA,NA,30198383.77,28467470.33,595794.24,5241225.52
5240,NM,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5239,NM,Fire,Fire Management,NA,NA,NA,NA,6245239.57,NA,NA,0
4367,ME,Coastal Storm,Major Disaster,NA,NA,NA,NA,4773677.1,243268.83,4266123.4,732672.87
4366,HI,Volcanic Eruption,Major Disaster,NA,NA,NA,NA,124861440.2,14254066.48,100375189.4,7629533.87
5238,AZ,Fire,Fire Management,NA,NA,NA,NA,459333.08,NA,NA,0
4365,HI,Flood,Major Disaster,NA,NA,NA,NA,13698283.18,3518071.71,8877729.51,3211553.96
4364,NC,Severe Storm,Major Disaster,NA,NA,NA,NA,NA,NA,NA,26462.05
4363,IN,Flood,Major Disaster,NA,NA,NA,NA,11380042.9,2383527.46,7777755.77,2558898.3
